Node,CAGM value
46557,1.7086781145019998
63221,1.7086781145019998
29929,1.7086781145019998
26613,1.7086781145019998
49040,14.115153896684419
67388,4.089689655186311
34503,2.4173562290039996
4158,3.834712458007999
9167,1.7086781145019998
56393,1.7086781145019998
5138,15.563662113256923
46894,14.854205533363563
15874,1.708678114502
60282,1.7086781145019998
13016,1.7086781145019998
41362,1.7086781145019998
8509,1.7086781145019998
16823,1.7086781145019998
10474,3.6459836426135173
29928,9.475173810737294
54241,3.8347124580079983
20793,2.417356229004
25655,3.834712457262694
5942,2.417356229004
63786,5.252068687011999
54556,3.299074529029076
3127,2.4173562290039996
58685,3.8347124580116305
42162,38.76402736483732
65880,7.345938663831018
9969,1.708678114502
67933,1.7086781145019998
27735,1.7086781145019998
61659,1.7086781145019998
29945,1.7086781145019998
54098,1.7086781145019998
68125,1.7086781145020002
59363,1.708678114502
27007,1.708678114502
1743,1.7086781145020002
4503,1.7086781145019998
37008,1.7086781145019998
9994,3.645983642613517
29509,11.329938714676246
49074,37.280281577250655
49958,5.698026766613082
5764,3.8347124580309417
13872,2.4173562290039996
17963,1.708678114502
1027,1.7086781145019998
10684,1.7086781145019994
4336,1.708678114502
59651,2.4173562290039996
42018,3.834712458008917
39095,1.708678114502
41137,1.7086781145019998
37295,29.353455831633088
23420,31.628632710146068
1829,1.7086781145019998
64452,1.7086781145019998
45420,1.708678114502
50403,1.7086781145019998
57173,1.708678114502
39264,1.7086781145019998
9154,3.1260343435060003
65505,7.378103030374137
64225,1.7086781145019998
42231,1.7086781145019998
23778,1.7086781145020002
22916,1.708678114502
8709,1.7086781145020002
33923,1.7086781145020002
6578,3.1260343435060003
28001,7.378103030463762
14525,1.708678114502
4988,1.708678114502
42600,1.7086781145020005
26770,1.7086781145019998
36010,22.433710823926273
66017,17.897737438022276
5569,1.7086781145019998
43588,1.7086781145019996
49541,105.77584899620767
16164,44.40388202711648
17217,1.7086781145019998
11557,1.708678114502
22495,2.417356229004
22735,3.834712458171117
66882,2.417356229004
1673,3.8347124579523584
65786,8.36380692238041
55259,95.78437578479341
35042,5.252068687012
17793,5.252068687012001
4621,6.669424916016
53481,3.700562672680392
63113,367.98270869899534
41302,44.55409883140578
39085,12.594748916528156
4450,3.992892756197956
60268,20.82380321832393
4719,5.1403325079522935
32722,2.417356229004
10677,3.834712458094967
50514,1.7086781145020002
33103,1.7086781145019998
31503,18.716952862033256
63707,4.543390572509999
27352,1.7086781145020002
28268,1.7086781145019998
46660,1.7086781145020007
19669,1.708678114502
818,3.8347124579628824
49382,2.417356229004
65013,78.5176659641165
49096,7.328587474142924
14176,3.834712457991174
43543,2.4173562290039996
10529,3.1260343435060003
54915,7.378103030586006
62302,3.8347124580204635
28549,2.4173562290039996
34735,3.299074529029076
28991,5.252068687011999
54118,5.252068687012
65338,5.252068687011999
9281,4.089689655186311
9746,14.115153896684419
19660,50.23663507956624
35424,58.757582310801936
22749,1.7086781145019994
60678,1.708678114502
11913,7.384702927358619
26702,3.126034343506
41477,1.708678114501999
9656,1.7086781145019998
46402,1.7086781145020002
31807,1.7086781145019998
36939,3.8347124580857272
21729,2.417356229004
38614,17.794063815827894
45904,6.367900270249863
61020,1.7086781145019971
8621,1.7086781145019998
57878,6.669424916015998
40719,3.700562672680392
17289,7.378103031301704
50295,3.126034343506
20338,1.7086781145020007
51791,1.708678114501998
37482,625.0934449983642
10943,10.758483606154245
23477,3.886706950249204
8025,1.708678114502
48829,1.7086781145020002
42788,1.7086781145019998
1631,1.7086781145019998
40578,1.7086781145019967
6809,1.7086781145020011
5559,5.2520686870120015
60324,5.252068687012001
4389,6.669424916016
57273,6.669424916016002
51771,1.708678114502
64485,1.7086781145019998
5779,4.751205525446375
54519,14.119687942214123
12143,6.669424916016
61977,3.700562672680392
51374,2.4173562290039996
61262,3.834712457958586
16925,1.7086781145019998
49418,1.708678114501999
23282,1.708678114502
48729,1.708678114502
14528,1.7086781145020007
67910,1.7086781145020007
2074,1.708678114502
25789,1.7086781145020002
61201,1.7086781145020007
60645,1.7086781145019987
10772,3.8347124580069423
57262,2.4173562290039996
61622,5.252068687012001
62550,5.252068687012001
21776,14.259105946439343
38038,313.76696203246775
48299,3.834712458072196
47341,2.417356229004
22961,1.7086781145019998
55079,1.7086781145020007
1174,2.417356229004
25502,3.8347124580623744
20773,4.47881663769223
16278,15.379964098588195
37963,15.379964098588195
42819,31.140953784268977
37108,3.834712458143218
15757,2.417356229004
22057,3.8347124580282737
16291,2.417356229004
13937,1.7086781145019998
42918,1.7086781145020007
58792,2.417356229004
65099,3.834712458008548
57165,7.378103031712701
60301,3.1260343435060003
2061,1.708678114502
53268,1.7086781145019998
303,7.345938663831018
60123,12.041591969094725
50736,2.417356229004
29595,3.834712458003661
43393,14.11968794253153
15224,4.751205525446372
58466,5.242369845740142
7127,19.053239200514778
33847,5.252068687011999
25569,3.299074529029076
39020,2.417356229004
28633,3.83471245795843
37538,6.669424916016001
4526,14.119687942425442
22552,1.7086781145020002
28292,1.708678114502
66382,6.669424916016
49165,3.700562672680392
19835,3.834712458078781
16675,2.4173562290039996
31529,10.193420482691577
30160,62.773751027433235
33986,1.7086781145020002
45325,1.7086781145019998
66288,2.4173562290039996
66440,3.834712457986917
7060,4.089689655186311
19712,14.115153896684415
51382,2.417356229004
38826,3.8347124580162375
66165,3.64598364261338
47677,9.475173810730507
58462,1.7086781145019998
66564,1.7086781145019998
32303,1.7086781145019987
6043,1.7086781145020002
41176,3.299074529029076
29373,10.991238057024542
643,165.45734045595248
1191,3.299074529029076
26304,5.252068687012001
46497,2.4173562290039996
3542,3.83471245801658
13355,3.2990745290290757
53137,1.708678114501999
26784,1.7086781145019998
3826,1.708678114502001
